age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
0.071124576,-1.0584565,1.1447234,0.60578364,-0.22550187,0.010322968,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
0.895539,-1.0048347,1.1447234,-0.22486615,-0.22550187,-2.23741,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
-0.0038221867,0.21967913,-0.4255417,-0.22486615,-0.22550187,0.010322968,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
1.1203793,0.39618272,-1.2106742,-0.22486615,-0.22550187,0.010322968,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,United-States,<=50K
-0.7532898,1.3556218,1.1447234,-0.22486615,-0.22550187,0.010322968,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,Cuba,<=50K
-0.07876895,0.8575533,1.5372896,-0.22486615,-0.22550187,0.010322968,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K
0.8205922,-0.29349053,-1.9958067,-0.22486615,-0.22550187,-1.9876618,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,Jamaica,<=50K
1.0454326,0.16412331,-0.4255417,-0.22486615,-0.22550187,0.42656982,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
-0.52844954,-1.3521048,1.5372896,5.1563997,-0.22550187,0.84281665,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
0.29596487,-0.30031934,1.1447234,1.7535629,-0.22550187,0.010322968,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
-0.07876895,0.8194489,-0.032975424,-0.22486615,-0.22550187,3.3402977,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K
-0.6033963,-0.46828228,1.1447234,-0.22486615,-0.22550187,0.010322968,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,India,>50K
-1.1280236,-0.64432317,1.1447234,-0.22486615,-0.22550187,-0.82217073,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
-0.45350277,0.12134606,0.7521571,-0.22486615,-0.22550187,0.84281665,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,United-States,<=50K
0.14607134,-0.64894974,0.35959086,-0.22486615,-0.22550187,0.010322968,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,nan,>50K
-0.30360925,0.49580196,-2.3883731,-0.22486615,-0.22550187,0.42656982,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,Mexico,<=50K
-0.97813016,-0.14017533,-0.4255417,-0.22486615,-0.22550187,-0.40592387,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
-0.45350277,-0.04701475,-0.4255417,-0.22486615,-0.22550187,0.010322968,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,United-States,<=50K
-0.0038221867,-1.5084273,-1.2106742,-0.22486615,-0.22550187,0.84281665,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
0.37091163,0.9278124,1.5372896,-0.22486615,-0.22550187,0.42656982,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,United-States,>50K
0.14607134,0.0149812605,2.3224223,-0.22486615,-0.22550187,1.6753104,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
1.1953261,1.0200754,-0.4255417,-0.22486615,-0.22550187,-1.6546644,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,United-States,<=50K
