age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,Private,,,12.0,Married-civ-spouse,Farming-fishing,Wife,White,Female,0.0,,45.0,,<=50K
33,Private,243330.0,HS-grad,9.0,,Machine-op-inspct,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
39,Private,160402.0,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,38.0,United-States,<=50K
44,Private,201599.0,,7.0,Never-married,Machine-op-inspct,Unmarried,,Female,0.0,0.0,40.0,United-States,
31,Private,,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
63,Private,116993.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
26,Private,,HS-grad,9.0,Never-married,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,0.0,0.0,40.0,United-States,<=50K
25,Private,169905.0,,11.0,Never-married,,Not-in-family,,Male,27828.0,0.0,,United-States,
21,Private,325762.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,<=50K
35,Private,385412.0,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,,40.0,United-States,<=50K
,Private,,HS-grad,9.0,Never-married,Machine-op-inspct,Other-relative,Black,,0.0,0.0,1.0,United-States,<=50K
75,Self-emp-not-inc,218521.0,Some-college,10.0,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0.0,0.0,30.0,United-States,<=50K
53,Self-emp-not-inc,152810.0,10th,6.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,,<=50K
37,,182675.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,,United-States,>50K
28,Private,,Doctorate,,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,,,<=50K
34,Private,424988.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,,0.0,0.0,45.0,United-States,<=50K
42,State-gov,155657.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,,Female,0.0,0.0,25.0,United-States,<=50K
25,Self-emp-not-inc,,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,30.0,United-States,
56,Local-gov,204021.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
29,Private,309778.0,HS-grad,,Married-civ-spouse,,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
58,Private,,9th,5.0,Divorced,Farming-fishing,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K
36,Private,63509.0,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,Husband,,Male,0.0,0.0,48.0,United-States,>50K
24,Private,283092.0,,7.0,Never-married,Craft-repair,Not-in-family,Black,Male,,0.0,35.0,Jamaica,<=50K
,Private,744929.0,HS-grad,9.0,Never-married,Exec-managerial,Own-child,Black,Female,0.0,0.0,40.0,United-States,<=50K
33,Private,123031.0,HS-grad,,,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,<=50K
30,,125762.0,Some-college,10.0,,Adm-clerical,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
38,Self-emp-not-inc,166497.0,Prof-school,15.0,Never-married,Prof-specialty,,White,Male,0.0,0.0,,,>50K
50,Self-emp-not-inc,99894.0,5th-6th,3.0,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,15.0,United-States,<=50K
37,Private,286730.0,Some-college,10.0,Divorced,Craft-repair,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
34,Private,362787.0,10th,6.0,Married-spouse-absent,Other-service,Unmarried,Black,Female,0.0,0.0,30.0,United-States,<=50K
47,Private,246891.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,15024.0,,45.0,United-States,>50K
54,Private,283725.0,Masters,14.0,Divorced,,Not-in-family,White,,0.0,0.0,40.0,United-States,<=50K
74,Private,180455.0,Bachelors,13.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,8.0,United-States,<=50K
28,Private,261725.0,1st-4th,2.0,,Machine-op-inspct,Not-in-family,White,,0.0,0.0,40.0,Mexico,<=50K
56,Private,155449.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,,<=50K
47,Local-gov,39986.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
31,Self-emp-not-inc,283587.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
49,Private,167159.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,,0.0,40.0,United-States,
36,Private,167482.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,,United-States,>50K
44,Private,181762.0,,13.0,Married-civ-spouse,Transport-moving,Husband,White,Male,15024.0,0.0,55.0,United-States,>50K
,Private,90860.0,Some-college,10.0,Never-married,Sales,Own-child,,Female,0.0,0.0,20.0,United-States,<=50K
27,Private,38918.0,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,1876.0,75.0,United-States,<=50K
